Taxon,pos for analysis,Genus,species,BV.TV,SLD,TB.TH,MIL,TB.N,GC,CSA,Conn.D,Connectivity,CL,mass,IZL,ecol,group,size,test,mass_proxy
Tolypeutes_matacus,ps1,Tolypeutes,matacus,0.149705,2.18583,0.0837762,1.66684,0.77349,40.8044,66.5728,16090.779,390.625,6.95,1303.47,7.74,scratch,dillo,small,test_set,9.99
Tolypeutes_matacus,ps2,Tolypeutes,matacus,0.16453,1.83366,0.0814388,1.70899,0.868671,37.9087,63.6264,16467.374,453.5,6,1303.47,9.64,scratch,dillo,small,data_set,9.99
Tolypeutes_matacus,ps3,Tolypeutes,matacus,0.106033,2.04867,0.0755452,1.32311,0.778369,40.5074,63.4205,14442.727,345.125,5.82,1303.47,9.99,scratch,dillo,small,test_set,9.99
Tolypeutes_matacus,ps4,Tolypeutes,matacus,0.127641,1.99968,0.073205,1.54395,0.75884,32.8489,79.0987,18741.459,648.5,8.3,1303.47,10.04,scratch,dillo,small,data_set,9.99
Tolypeutes_matacus,ps5,Tolypeutes,matacus,0.163326,2.22978,0.0863813,1.95775,0.77458,46.0417,61.2695,19947.133,991.5,7.86,1303.47,10.41,scratch,dillo,small,test_set,9.99
Tolypeutes_matacus,ps6,Tolypeutes,matacus,0.132355,2.01735,0.0691649,1.61421,0.8108,35.283,72.4753,20281.143,612.5,8.08,1303.47,10.4,scratch,dillo,small,data_set,9.99
Priodontes_maximus,ps1,Priodontes,maximus giganteus,0.3297035,1.94864,0.197827,2.189675,0.7335745,53.51925,615.9214,3733.66,3394.56,18.68,40641.89,29.515,scratch,dillo,big,test_set,31.815
Priodontes_maximus,ps2,Priodontes,maximus giganteus,0.4015825,1.961835,0.2237745,2.18582,0.777343,57.69875,842.03095,3409.94,3109.69,18.63,40641.89,27.1,scratch,dillo,big,data_set,31.815
Priodontes_maximus,ps3,Priodontes,maximus giganteus,0.3904975,1.795315,0.222745,2.19274,0.742412,61.59265,886.23935,3387.4,2519,18.45,40641.89,31.815,scratch,dillo,big,test_set,31.815
Priodontes_maximus,ps4,Priodontes,maximus giganteus,0.403564,1.683585,0.229114,1.952505,0.7671565,64.48015,1030.6627,3374.71,3337.94,16.94,40641.89,33.565,scratch,dillo,big,data_set,31.815
Priodontes_maximus,ps5,Priodontes,maximus giganteus,0.4230245,1.631875,0.23777,1.89961,0.7915365,65.59665,1123.6061,3354.29,3887.88,18.51,40641.89,33.82,scratch,dillo,big,test_set,31.815
Priodontes_maximus,ps6,Priodontes,maximus giganteus,0.419662,1.62926,0.243509,1.79349,0.774261,65.0482,1172.49355,3934.36,3478.93,17.785,40641.89,37.23,scratch,dillo,big,data_set,31.815
Chlamyphorus_truncatus,ps1,Chlamyphorus,truncatus,0.34389375,1.71321,0.104763875,1.910855,1.32653,49.1968,22.78045,27565.04,86,3.0625,83.53,4.49,scratch,dillo,small,test_set,5.615
Chlamyphorus_truncatus,ps2,Chlamyphorus,truncatus,0.29326925,1.55351,0.0955591,1.792495,1.2512685,50.351675,23.93845,27089.6,79.40625,3.0875,83.53,5.1175,scratch,dillo,small,data_set,5.615
Chlamyphorus_truncatus,ps3,Chlamyphorus,truncatus,0.245841,1.738805,0.0986423,1.63667,1.17870175,51.411775,25.42405,32892.754,131.875,3.51,83.53,5.615,scratch,dillo,small,test_set,5.615
Chlamyphorus_truncatus,ps4,Chlamyphorus,truncatus,0.29161825,1.6014175,0.097162675,1.6169125,1.3979225,46.90335,27.23265,34557.33775,170.65625,3.8975,83.53,6.34,scratch,dillo,small,data_set,5.615
Chlamyphorus_truncatus,ps5,Chlamyphorus,truncatus,0.25941575,1.6082475,0.090666525,1.50744,1.214061,48.571725,32.546325,33733.00275,219.71875,3.825,83.53,6.68,scratch,dillo,small,test_set,5.615
Chlamyphorus_truncatus,ps6,Chlamyphorus,truncatus,0.3043515,1.4905125,0.086163575,1.5041325,1.46055,48.357225,29.90085,31117.30275,248.15625,5.395,83.53,5.67,scratch,dillo,small,data_set,5.615
Dasypus_novemcinctus,ps1,Dasypus,novemcinctus mexicanus,0.5053425,1.473235,0.1635195,1.77421,1.068324,60.5373,146.2831,8074.4955,481,9.635,3949.01,14.88,scratch,dillo,medium,test_set,16.555
Dasypus_novemcinctus,ps2,Dasypus,novemcinctus mexicanus,0.5602005,1.57936,0.1729385,2.119975,1.15012,56.5259,146.35925,9471.585,879.5,9.915,3949.01,16.14,scratch,dillo,medium,data_set,16.555
Dasypus_novemcinctus,ps3,Dasypus,novemcinctus mexicanus,0.490704,1.55563,0.1607215,2.13554,1.153555,52.54685,148.02225,10447.3185,1001.375,10.995,3949.01,16.555,scratch,dillo,medium,test_set,16.555
