no,Genus,species,sex,zoo or wild,scan res,vert position,pos for analysis,fiji threshold,ROI size,number of images in ROI,BV.TV,SVD,SLD,TB.TH,MIL,TB.N,MIL.F,trend,plunge,rel.res,GC,CSA,Conn.D,Connectivity,mass,femur_r_c,femur_l_c,avg_fem_c,humerus_r_c,humerus_l_c,avg_hum_c,log_mass_camp,mass_camp,CL,ch_post,cw_post,ch_ant,cw_ant,pre_zw,post_zw,tot_h,tot_w,inter_zl,mass_proxy
68919,Bradypus,variegatus,m,wild,45.616,T14,ps1,20481,3.7,153,0.404357,3.03873,1.35047,0.250876,1.48562,0.6457,1.36676,139.339,76.7933,5.499736934,52.0918,109.1624,5665.702,563.625,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,11.85,6.5,10.3,7.6246,10.754,11.3,12.3,15.98,18.63,12.1,18.9
68919,Bradypus,variegatus,m,wild,45.616,T15,ps2,20481,1.8,159,,,,,1.41864,0.447595,1.30848,,,0,52.2736,114.1169,5819.047,132.25,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,11.72,7.1,8.62,5.93,9.8,12.3,12.1,16.21,19.25,17.3,18.9
68919,Bradypus,variegatus,m,wild,45.616,T16,ps3,20481,4,156,0.3762,3.16987,1.4234,0.28396,1.32726,0.5517,1.27467,34.3678,88.6321,6.225008769,51.8719,119.6541,5315.448,600.75,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,11.09,7.48,11.66,7,9.6,13.4,11.72,17.64,21.35,18.9,18.9
68919,Bradypus,variegatus,m,wild,45.616,L01,ps4,20481,4.8,142,0.302003,2.43222,1.20214,0.202957,1.18688,0.559318,1.14662,224.323,47.596,4.449250263,59.7898,120.4262,4728.959,766.75,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,10.94,6.9,11,6.7,9.43,13.29,12.5,17.43,24.77,19.5,18.9
68919,Bradypus,variegatus,m,wild,45.616,L02,ps5,20481,4.1,163,0.307945,2.98048,1.38764,0.227943,1.4047,0.530762,1.33177,197.018,51.3547,4.996996668,63.8921,115.2364,5746.208,719.5,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,12.05,7,11.1,6.4,10.4,13.8,13.9,16.05,29.09,18.5,18.9
68919,Bradypus,variegatus,m,wild,45.616,L03,ps6,20481,3.7,162,0.308071,3.73547,1.43039,0.22907,1.26717,0.557491,1.22382,30.6278,72.5953,5.021702911,60.0379,115.3377,6476.087,653,4136.36,27,26,26.5,26,25,25.5,3.613293192,4104.811248,12.18,5.5,11.5,7.2,11.4,16.2,12.4,14.15,30.64,18.4,18.9
69587,Bradypus,variegatus,m,wild,45.906,T14,ps1,22593,4.1,168,0.502926,3.36373,1.3859,0.266148,1.33194,0.894216,1.27981,61.6323,85.9813,5.797673507,58.1941,126.7768,8965.598,1172.125,4136.36,32,31.5,31.75,32.5,31,31.75,3.851824971,7109.269384,12.47,7.321,10.65,6.604,8.442,11.68,11.569,18.07,18.89,16.166,19.32
69587,Bradypus,variegatus,m,wild,45.906,T15,ps2,22593,3.7,158,0.529018,3.44871,1.34403,0.268614,1.29605,0.890786,1.23646,32.3624,81.3486,5.851391975,55.6513,135.7703,8328.925,957.625,4136.36,32,31.5,31.75,32.5,31,31.75,3.851824971,7109.269384,11.76,8.56,11.02,5.583,7.468,11.797,12.01,18.93,19.58,16.91,19.32
69587,Bradypus,variegatus,m,wild,45.906,T16,ps3,22593,4.9,168,0.499003,2.97542,1.34279,0.217367,1.28276,1.0045,1.23043,110.663,88.4497,4.735045528,53.9379,181.6262,9027.13,1721.25,4136.36,32,31.5,31.75,32.5,31,31.75,3.851824971,7109.269384,12.63,8.89,11.69,8.73,8.9,13.87,11.25,20.03,22.21,19.32,19.32
69587,Bradypus,variegatus,m,wild,45.906,L01,ps4,22593,4.9,147,0.52437,3.46995,1.37633,0.229813,1.38683,0.757149,1.28789,1.14501,6.53389,5.006164771,53.0965,181.2663,6926.872,1124.5,4136.36,32,31.5,31.75,32.5,31,31.75,3.851824971,7109.269384,12.78,9.53,11.42,9.5,9.88,12.46,12.45,19.72,26.19,18.94,19.32
